date: 290317, hour: 040749.000
Counter: 187 | X: 1.627466 | Y:1.566759 | Z: 1.280638
Counter: 188 | X: 1.626367 | Y:1.568080 | Z: 1.280035
Counter: 189 | X: 1.625810 | Y:1.567019 | Z: 1.281207
Counter: 190 | X: 1.626406 | Y:1.567792 | Z: 1.283103
Counter: 191 | X: 1.626645 | Y:1.568320 | Z: 1.281815
Counter: 192 | X: 1.626849 | Y:1.568200 | Z: 1.280062
Counter: 193 | X: 1.627262 | Y:1.567516 | Z: 1.279271
Counter: 194 | X: 1.626216 | Y:1.567125 | Z: 1.280016
Counter: 195 | X: 1.626370 | Y:1.567411 | Z: 1.280941
Counter: 196 | X: 1.627052 | Y:1.567679 | Z: 1.281031
